question,answer_text,distractor
What 's the students ' attitude to universities in the survey ?,Most of them are willing to go to university .,"'Most of them are willing to go to universityuniversity .', 'Most of them were willing to go to university .'"
What would be the best title for the text ?,A supper runner -- Patti Wilson,"'A supper opener -- Patti Wilson', 'A supper runner -- Patti Wilson'"
"If you want to join the activity , you 're supposed to    ",make an appearance at the starting day,"'make an accomplishment at the starting day', 'find an appearance at the starting day'"
What is the main purpose of the author in writing the passage ?,To give the readers brief introduction of solar ovens .,"'To give the listeners brief introduction of solar ovens .', 'To find the readers brief introduction of solar ovens .'"
Whose story is related to astronomy ?,Mark Twain 's,"'marker Twain 's', 'Mark Twain 's'"
"According to the author , when we do anything wrong we firstly",admit we were wrong and try to make the wrong right,"'believe we were wrong and try to make the wrong right', 'admit we are wrong and try to make the wrong right'"
What does Harrison do first when testing ice cream ?,He lets the ice cream warm up .,"'He lets the roller cream warm up .', 'He helps the ice cream warm up .'"
What Prof Wilkins said suggests that,he is confident in the tremor - resistant home,"'he is confident in the engorgement - resistant home', 'he was confident in the tremor - reswastant home'"
The author thinks the golf is resource - hungry because of the following EXCEPT that,Golf is bad for people 's health,"'Golf is bad for schoolteachers 's health', 'Golf was bad for people 's health'"
Which of the following statement is NOT true ?,"After receiving the medical treatment , Jobs was in good health again .","'After receiving the medical deterioration , Jobs was in good health again .', 'After completing the medical treatment , Jobs was in good health again .'"
"The machine said quickly "" Will one of you get off ? "" because   ",the third woman was too fat,"'the third prostitute was too fat', 'the third woman is too fat'"
The author wrote the passage for the purpose of,encouraging us to do some voluntary work .,"'encouraging us to do some voluntary experience .', 'discouraging us to do some voluntary work .'"
What happens to the food that ca n't be fully broken down ?,It will be eventually moved out of our body .,"'It will be eventually moved out of our chest .', 'It will been eventually moved out of our body .'"
"If you want to buy something fashionable to wear , you 'd better go to",Fifth Avenue,"'one-fifth Avenue', 'Fifth Avenue'"
Why did Tom Cruise say the film was challenging for him ?,Because he felt it a heavy task to present the real history .,"'Because he felt it a heavy tactic to present the real history .', 'Because he realized it a heavy task to present the real history .'"
What is the BEST title for the passage ?,Love notes,"'beloved notes', 'Love notes'"
What made Shawn Lee return to attend college again ?,That he wanted to find a better job .,"'That he wanted to find a better whim .', 'That he wished to find a better job .'"
Which of the following is TRUE about homeschooling according to the text ?,Some parents have to homeschool their children when living abroad .,"'Some grandparents have to homeschool their children when living abroad .', 'Some parents 've to homeschool their children when living abroad .'"
What is Stacy DeBroff 's warning to immigrant parents ?,Do n't bring up their children as their parents did .,"'Do n't bring up their hairdressers as their parents did .', 'bash n't bring up their children as their parents did .'"
Ryan Stewart will have to,go back to school,"'go back to college', 'come back to school'"
What will you do to satisfy your son 's curiously about marine animals ?,You prefer the tour to Bayside and Hard Rock .,"'You prefer the showdown to Bayside and Hard Rock .', 'You expect the tour to Bayside and Hard Rock .'"
We can learn from the article that Mary,was very happy when given the purse,"'was very happy when given the paycheck', 'is very happy when given the purse'"
What 's the text mainly about ?,The change in university students ' attitudes to teachers .,"'The counterbalance in university students ' attitudes to teachers .', 'The change in university students ' attitudes to teachers .'"
Which of the following statements is TRUE ?,An American will feel poor unless he has a car .,"'An American_English will feel poor unless he has a car .', 'An American will percieve poor unless he has a car .'"
What can we learn about Julia Butterfly Hill from the text ?,She has a sense of social responsibility .,"'She has a semblance of social responsibility .', 'She had a sense of social responsibility .'"
"Hearing of Steve Jobs ' death , the heads of other leading technology companies have paid tribute and",spoken highly of him,"'spoken highly of him', 'attested highly of him'"
Did Mary know the way to her school ?,"Yes , she knew only one way .","'Yes , she knew only one glance .', 'Yes , she believes only one way .'"
"According to the reading , what is the connection between exercise and brain development ?",Physical exercise helps us think better .,"'Physical conduct helps us think better .', 'Physical exercise lets us think better .'"
What 's the main idea of the passage ?,Children from poor families are more likely to eat junk food .,"'child from poor families are more likely to eat junk food .', 'Children from poor families were more likely to eat junk food .'"
Franklin did not use a,thermometer,"'microscope', 'thermometer'"
Which site of the spring has the greatest gap of water temperature ?,Budapest .,"'Budapest .', 'Budapest .'"
What does the research done by Monash University mainly show ?,Differences in the brains of emotional and rational people .,"'difference in the brains of emotional and rational people .', 'Differences in the brains of emotional and rational people .'"
"In the beginning , people used to",drink the chocolate,"'drink the caramel', 'relish the chocolate'"
Why does the policeman run after the young man ?,Because he thinks the young man is a bad man .,"'Because he thinks the young girl is a bad girl .', 'Because he knows the young man is a bad man .'"
What would be the best title for the passage ?,A Remarkable Life : Tortoise Dies at 250,"'A Remarkable animation : Tortoise Dies at 250', 'A Remarkable Life : Tortoise die at 250'"
What would be the best title for this passage ?,The Shenzhou Olympics,"'The Shenzhou Olympic_Games', 'The Shenzhou Olympics'"
People catch colds easily because they,ca n't often wash their hands,"'ca n't often wash their eyes', 'ca n't often plow their hands'"
Greg Pal used to,be engaged in developing software,"'be engaged in developing hardware', 'been engaged in developing software'"
What do people do with the coins in the dumplings ?,They give it to children,"'They give it to hairdressers', 'They find it to children'"
Western firms have largely abandoned investing in employees ' training and development because,they are afraid of the losses brought about by the resignation of employees,"'they are afraid of the casualties brought about by the resignation of employees', 'they were afraid of the losses brought about by the resignation of employees'"
What is the function of our immune system ?,To destroy the troublemakers in order that they might not hurt the body .,"'To destroy the lawbreakers in order that they might not hurt the body .', 'To protect the troublemakers in order that they might not hurt the body .'"
Why did the author give the card to the homeless guy on the street ?,Because he wanted the guy to have a free coffee rather than some money .,"'Because he wanted the dick to have a free coffee rather than some money .', 'Because he wished the guy to have a free coffee rather than some money .'"
The author may agree all the following statements EXCEPT that,it is possible for us all to grow up to be Tiger Woods - like successes,"'it is possible for us all to grow up to be Tiger forest - like successes', 'it was possible for us all to grow up to be Tiger Woods - like successes'"
"When traveling in Rome , the writer seems to believe it is a good idea to",go on a picnic in Villa Borghese or Pompeii in Late February,"'go on a hiking in Villa Borghese or Pompeii in Late February', 'come on a picnic in Villa Borghese or Pompeii in Late February'"
What is the text mainly about ?,Charity in Britain .,"'Jacob's_ladder in Britain .', 'Charity in Britain .'"
"To the taxi driver , a red light",did n't always mean that there was cross traffic,"'did n't always mean that there was fleur-de-lis traffic', 'does n't always mean that there was cross traffic'"
"From the story , we can infer   that",scientists are studying a new type of apples,"'researchers are studying a new type of apples', 'scientists were studying a new type of apples'"
What did the author do last summer ?,She helped someone to learn to read,"'She helped anyone to learn to read', 'She sought someone to learn to read'"
What is the writer 's purpose in writing the passage ?,"To tell us some phrases with "" hand "" .","'To tell us some expressions with "" hand "" .', 'To hear us some phrases with "" hand "" .'"
What is the main idea of this passage ?,Speak more English in English class,"'talk more English in English class', 'Speak more English in English class'"
The best title for this passage would be,Libraries Going Digital,"'library Going Digital', 'Libraries departure Digital'"
What was the main purpose of China leasing pandas to Belgium ?,We meant to improve the relationship between China and Belgium .,"'We meant to improve the portrayal between China and Belgium .', 'We allowed to improve the relationship between China and Belgium .'"
In ancient times birds were thought to be,the ones bringing news from the gods,"'the words bringing news from the gods', 'the ones giving news from the gods'"
Which one is NOT TURE according to the article ?,We have understood what all the words in the DNA map do .,"'We have understood what all the phrases in the DNA map do .', 'We 've understood what all the words in the DNA map do .'"
The reason why people often regret may be that,they are too careless to cherish precious things,"'they are too careless to cherish precious eyeballs', 'they were too cwereless to cherish precious things'"
"Alex lent Emma the book , Markings ,",to show his friendliness to her,"'to show his well-being to her', 'to treehouse his friendliness to her'"
Which might be the best title for this passage ?,Turn your MP3 players down !,"'Turn your MP3 goalkeepers down !', 'bend your MP3 players down !'"
This passage is mainly about,the origin and present meaning of tipping,"'the origins and present meaning of tipping', 'the origin and present meaning of stamping'"
The author wants to show that,it is possible to learn to live together in peace .,"'it is possible to learn to live together in reconciliation .', 'it was possible to learn to live together in peace .'"
What can we learn about Nikki from the passage ?,Her mum gave birth to four children in all .,"'Her mom gave birth to four children in all .', 'Her mum chooses birth to four children in all .'"
What 's the best title of the passage ?,Penguins lost ability to taste fish,"'penguin lost ability to taste fish', 'Penguins snatched ability to taste fish'"
"The words "" man 's best friends""shows",the friendship between people and animals .,"'the betrayal between people and animals .', 'the friendship between people and animals .'"
"In Paragraph 2 , the writer refers to the meaning of "" Yushu "" to show that",people there are brave and strong when facing the earthquake,"'schoolteachers there are brave and strong when facing the earthquake', 'people there were brave and strong when facing the earthquake'"
What is Google Flu Trends ?,A system to estimate flu activity levels .,"'A subsystem to estimate flu activity levels .', 'A system to requirement flu activity levels .'"
Which description is right according to the passage ?,Many people have wrong concept towards the relation between love and money .,"'Many schoolteachers have wrong concept towards the relation between love and money .', 'Many people 've wrong concept towards the relation between love and money .'"
It can be inferred from the passage that the writer,knew the rules well,"'knew the mottos well', 'believes the rules well'"
The price of food goes up because all of the following EXCEPT,American farmers are getting richer and richer .,"'American miners are getting richer and richer .', 'American farmers were getting richer and richer .'"
"Having heard her grandma 's criticism ,",she wishes she were not growing up,"'she wishes she were not growing up', 'she refusal she were not growing up'"
"According to the text , who are supposed to be in the express line ?",Customers with not more than 15 items .,"'customer with not more than 15 items .', 'Customers with not more than 15 items .'"
Michael Breus thinks that,teens need enough sleep to be lively,"'teenagers need enough sleep to be lively', 'teens deserve enough sleep to be lively'"
How can you learn more about the special service information ?,By phoning the library at the required time .,"'By phoning the guidebook at the required time .', 'By berating the library at the required time .'"
What did the man do when he returned to his hometown ?,He returned to the shoemaker .,"'He returned to the workman .', 'He decamped to the shoemaker .'"
Collecting taxes on houses has all the following effects except,making the developers do their best to sell their houses,"'making the clients do their best to sell their houses', 'creating the developers do their best to sell their houses'"
"Why is Dickens ' called "" the man who invented Christmas "" ?",Because one of his novels helped to shape Christmas celebrations .,"'Because one of his anthologies helped to shape Christmas celebrations .', 'Because one of his novels sought to shape Christmas celebrations .'"
What dose the author say aBout doctors in general ?,They are unwilling to take advice .,"'They are unwilling to take apology .', 'They were unwilling to take advice .'"
The small boy 's foot hurt because,a bucket of water fell on his foot,"'a jerk of water fell on his foot', 'a bucket of water sank on his foot'"
"As Chinese teenagers , what 's our duty in the future ?",To make China more and more beautiful,"'To make Taiwan more and more beautiful', 'To find China more and more beautiful'"
"From the passage , we know",Garcia found much comfort in music according to his mom,"'Garcia found much pluck in music according to his mom', 'Garcia exploited much comfort in music according to his mom'"
Which of the following is TRUE about Sterling according to the passage ?,He has got a big ticket for the racist remarks he made .,"'He has got a big lottery for the racist remarks he made .', 'He had got a big ticket for the racist remarks he made .'"
Mary 's brother and his family could have a wonderful holiday because,Mary looked after their dog,"'Mary looked after their monster', 'Mary appears after their dog'"
People in the 18th and 19th centuries slept about 9.5 hours a night because,they had no electricity,"'they had no goods', 'they has no electricity'"
What can we learn from some recent studies ?,Interracial lodging may have diverse outcomes .,"'Interracial accommodation may have diverse outcomes .', 'Interracial lodging may 've diverse outcomes .'"
Why did most of Chinese people believe to eat eggplant and gram to be healthy ?,Because the people think Zhang Wuben is a famous nutritionist and doctor .,"'Because the schoolteachers think Zhang Wuben is a famous nutritionist and doctor .', 'Because the people beleive Zhang Wuben is a famous nutritionist and doctor .'"
Which of the following is NOT TRUE according to the passage ?,Mrs. Anderson stole Charlie 's car at the request of her daughter .,"'Mrs Anderson stole Charlie 's car at the request of her daughter .', 'Mrs. Anderson robs Charlie 's car at the request of her daughter .'"
What is the topic of the talk in November ?,The work of the Thames Ironworks Heritage Trust .,"'The experience of the Thames Ironexperiences Heritage Trust .', 'The work of the Thames Ironworks Heritage Trust .'"
What do we know about space food from the text ?,Astronauts could eat apples in space in the past .,"'astronaut could eat apples in space in the past .', 'Astronauts could suck apples in space in the past .'"
The reading is mainly about,three friends at a school,"'three roommates at a school', 'three friends at a school'"
We can learn from the text that business English,pays more attention to the forms of expressions,"'manages more attention to the forms of expressions', 'pays more attention to the forms of expressions'"
What can we infer from the passage ?,Friedman has got some supporters for his project .,"'Friedman has got some defenders for his project .', 'Friedman had got some supporters for his project .'"
Which   is TRUE according to the article   ?,English meals are very simple .,"'English lunches are very simple .', 'English meals were very simple .'"
People with little education usually,have fewer chances to get a good job,"'have fewer expectations to get a good job', ''ve fewer chances to get a good job'"
"According to the passage , which of the following is true ?","The word "" DINKS "" appeared in an Asian country .","'The phrase "" DINKS "" appeared in an Asian country .', 'The word "" DINKS "" reappeared in an Asian country .'"
"According to the report above , three percent of the people do n't take all their holiday leave because",they are worried about their employer 's view on their taking holidays,"'they are worried about their beneficiary 's view on their taking holidays', 'they were worried about their employer 's view on their taking holidays'"
How did the farmers make their cows happy ?,They named each cow themselves .,"'They named each goat themselves .', 'They nicknamed each cow themselves .'"
People from all parts of the world go to visit Venice because,it is beautiful and quite different from other cities,"'it is beautiful and quite different from other localities', 'it was beautiful and quite different from other cities'"
"According to the passage , which of the following is TRUE ?",The customers who can not pay can word as volunteers in stead .,"'The subscribers who can not pay can word as volunteers in stead .', 'The customers who can not raise can word as volunteers in stead .'"
Everyone likes Tom because,he is friendly,"'he is friendly', 'he was friendly'"
What does the author think of society toward motorists ?,Society forgives their rude driving .,"'club forgives their rude driving .', 'Society berates their rude driving .'"
Why could n't the elephant get the fruit ?,Because the fruit was too high .,"'Because the broth was too high .', 'Because the fruit is too high .'"
"According to the passage , we can know Where Are We Going , Dad ? is",originally from South Korea,"'originally from Confederacy Korea', 'originally from South Korea'"
Which of the following statements is NOT true ?,People should take their naps secretly,"'citizenry should take their naps secretly', 'People should give their naps secretly'"
What is the passage mainly about ?,Benefits of advertising and its characteristics .,"'benefit of advertising and its characteristics .', 'Benefits of advertising and its characteristics .'"
"To be generous , the writer thinks",you find it meaningful whatever you do,"'you find it meaningful whatever you do', 'you give it meaningful whatever you do'"
The research mentioned in the passage is most probably about,the relevance between IQ and use of modern technology,"'the veracity between IQ and use of modern technology', 'the relevance between IQ and use of modern technology'"
What can be inferred from the passage ?,John is optimistic about feeding the rising population .,"'toilet is optimistic about feeding the rising population .', 'John was optimwastic about feeding the rwasing population .'"
"By "" Your past is more complete than mine , "" Mommy means   ",Shao - ming has got motherly care and a sense of roots,"'Shao - liao has got motherly care and a sense of roots', 'Shao - ming had got motherly care and a sense of roots'"
This passage mainly tells us that,one 's memory can be trained,"'one 's vision can be trained', 'one 's memory can been trained'"
What would be the best title for the text ?,Can birds really talk to us ?,"'Can giraffes really talk to us ?', 'Can birds really datestamp to us ?'"
"Two kinds of Sushi , Edo and Osaka , were probably named after",their birthplaces,"'their personages', 'their birthplaces'"
What was the outside bank guard 's reaction to the armed robbers ?,He was frightened to death by the robbers .,"'He was frightened to birth by the robbers .', 'He is frightened to death by the robbers .'"
"In this passage , why did the young man start early in the day ?",He knew the tide was out on this particular morning .,"'He knew the streak was out on this particular morning .', 'He believes the tide was out on this particular morning .'"
Sufjan Stevens composes songs about states to,let people know more about the US,"'let schoolteachers know more about the US', 'letting people know more about the US'"
Which of the following statements is TRUE ?,Scientists are warning people noise can be harmful .,"'scientist are warning people noise can be harmful .', 'Scientists were warning people noise can be harmful .'"
What do we know about the author 's family ?,Her family lives not far from a church .,"'Her household lives not far from a church .', 'Her family walks not far from a church .'"
The Future Stars is intended for,pre - school children,"'pre - college children', 'pre - school children'"
What the cities mentioned above have in common is that they,all have many tourist attractions to enjoy,"'all have many visitor attractions to enjoy', 'all 've many tourist attractions to enjoy'"
Why did the author say she was in misery ?,Because she was doing poorly in her study .,"'Because she was doing poorly in her emergence .', 'Because she is doing poorly in her study .'"
Where do the kids learn Chinese ?,In a weekend Chinese school in a church .,"'In a afternoon Chinese school in a church .', 'In a weekend Chinese school in a church .'"
The purpose of the passage is to,introduce some information about Peter Jackson,"'introduce some content about Peter Jackson', 'identify some information about Peter Jackson'"
Which is WRONG    ?,Sally and I are in the same class .,"'Sally and I are in the same sub-unit .', 'Sally and I were in the same class .'"
The passage mainly tells us that,there are different ways to give directions in different parts of the world,"'there are different possibilities to give directions in different parts of the world', 'there were different ways to give directions in different parts of the world'"
"According to legend , if it is cloudy on February 2 ,",winter will end in a short time,"'summer will end in a short time', 'winter will place in a short time'"
"In the early times , the travelers",had lots of money,"'had hundreds of money', 'has lots of money'"
What is the main idea of this passage ?,We should balance work with rest .,"'We should balance experience with rest .', 'We should strength work with rest .'"
Which of the following statements is TRUE concerning general intelligence ?,People doing well on one type of intelligence test do well on other tests .,"'citizenry doing well on one type of intelligence test do well on other tests .', 'People tweeting well on one type of intelligence test do well on other tests .'"
What message does the writer pass on at the end of the passage ?,She was aware that she had to kick the habit of being addicted to her iPhone .,"'She was aware that she had to kick the tendency of being addicted to her iPhone .', 'She is aware that she had to kick the habit of being addicted to her iPhone .'"
Why did the author decide to introduce a new shop to his mother ?,She is too old to go to the market as before .,"'She is too old to go to the trade as before .', 'She was too old to go to the market as before .'"
Which one of the following does n't contribute to Safina 's success ?,Her emotional explosion and volatile emotional state .,"'Her emotional accident and volatile emotional state .', 'Her emotional explosion and volatile emotional state .'"
"According to the text , Rock Dimensions camps will",probably impress participants deeply,"'probably impress attendees deeply', 'probably impress participants intensely'"
What can we learn from the passage ?,The dummies books will continue to be popular .,"'The crosswords books will continue to be popular .', 'The dummies books will cease to be popular .'"
"At the sight of the author , the rattlesnake",lay motionless but got ready to meet danger,"'worships motionless but got ready to meet danger', 'lay motionless but gotten ready to meet danger'"
What is special about Caleb Street 's Inn ?,It has a golf course for guest,"'It has a softball course for guest', 'It had a golf course for guest'"
The purpose of this writing is to,introduce a new kind of genetically - modified rice and its possible benefits,"'introduce a new sort of genetically - modified rice and its possible benefits', 'identify a new kind of genetically - modified rice and its possible benefits'"
It can be learned from the text that an assistant should offer you help,only when you have finished reading,"'only when you have finished re-writing', 'only when you 've finished reading'"
Which of the following is true ?,You are not late if you go to your classroom at 8 o'clock on Thursday .,"'You are not late if you go to your preschool at 8 o'clock on Thursday .', 'You were not late if you go to your classroom at 8 o'clock on Thursday .'"
"After listening to Mrs. Lemming 's story , Annabelle wished",she could be as great as Sophie,"'she could be as great as Sophie', 'she could been as great as Sophie'"
What does the author say about most Facebook users ?,They do n't know their personal data enriches Facebook,"'They do n't know their personal metadata enriches Facebook', 'They seem n't know their personal data enriches Facebook'"
We do n't know that our eyes are of great importance until,we can not see clearly,"'we can not see clearly', 'we can not summarise clearly'"
The address of the Shanghai Center Theater is,1376 Nanjing Road W,"'1376 Nanjing Road tungsten', '1376 Nanjing Road W'"
"According to Professor Cook , the rings of the trees",offer people information about the regional climate .,"'aim people information about the regional climate .', 'offer people information about the regional climate .'"
Which one is probably not Dr. Sharon M. Draper 's job ?,doctor,"'mentor', 'doctor'"
Which is the best title for the passage ?,A Trip to Know Margaret Mitchell .,"'A slip to Know Margaret Mitchell .', 'A Trip to Know Margaret Mitchell .'"
"The laundry owners asked Ramesh to come later , because",they had to wait for the sun to come out to dry clothes,"'they had to wait for the galaxy to come out to dry clothes', 'they has to wait for the sun to come out to dry clothes'"
"According to the survey , which do people lose most frequently ?",Cell phones .,"'cellular_telephone phones .', 'Cell phones .'"
"Before the cheating , the author thought that",he was a decent child but not perfect,"'he was a decent woman but not perfect', 'he is a decent child but not perfect'"
What happened to them a few minute later ?,their car nearly hit another car,"'their sailboat nearly hit another sailboat', 'their car nearly shot another car'"
Which of the following statements is TRUE to the facts about most organic produce sold in Britain ?,It is produced outside Britain .,"'It is produced outside United_Kingdom .', 'It was produced outside Britain .'"
"According to the passage , which of the following remains unknown so far ?",The working principle of suggestion therapy .,"'The working definition of suggestion therapy .', 'The venturing principle of suggestion therapy .'"
A sound   scientific theory should be one that,works under one set of conditions at one time and also works under the same conditions at other times,"'artworks under one set of conditions at one time and also artworks under the same conditions at other times', 'artworks under one set of conditions at one time and also artworks under the same conditions at other times'"
What 's the main idea of this passage ?,There are some ways to talk with our parents .,"'There are some possibilities to talk with our parents .', 'There were some ways to talk with our pwerents .'"
"According to the passage , Rodrigo Cruz",thinks people can use phones in emergencies while driving,"'knows people can use phones in emergencies while driving', 'thinks people can re-use phones in emergencies while driving'"
Why do about one - fourth of kids have poor handwriting in America ?,Each reason mentioned above is possible .,"'Each absense mentioned above is possible .', 'Each reason vandalised above is possible .'"
What is Gemma Cope according to the passage ?,The manager of an tourist company .,"'The organiser of an tourist company .', 'The manager of an tourist company .'"
What is the main idea of the article ?,Why earthquakes seem to be more serious this year .,"'Why wildfires seem to be more serious this year .', 'Why earthquakes deserve to be more serious this year .'"
Which of the following is true ?,The thief was caught two days later .,"'The man was caught two days later .', 'The thief is caught two days later .'"
Which of the following may be a suitable title for the story ?,Civilized Dog Raising,"'Civilized frump Raising', 'educate Dog Raising'"
The writer,is an American,"'is an American', 'was an American'"
Which is TRUE about Brazil ?,Soccer and samba are two symbols of the country .,"'Soccer and salsa are two symbols of the country .', 'Soccer and samba were two symbols of the country .'"
What worried the Craigs ?,There was no cheetah mother to teach the cubs .,"'There was no armadillo mother to teach the cubs .', 'There is no cheetah mother to teach the cubs .'"
Why was life able to develop on the earth but not on other planets ?,The water stayed on the earth but not on other planets .,"'The seawater stayed on the earth but not on other planets .', 'The water arrived on the earth but not on other planets .'"
What is the passage mainly about ?,It instructs us how to water trees correctly,"'It instructs us how to seawater trees correctly', 'It informs us how to water trees correctly'"
What are guests supposed to do from 9:00 a. m. to 10:30 a. m. ?,To take a tour of the Thomas College campus .,"'To take a showdown of the Thomas College campus .', 'To give a tour of the Thomas College campus .'"
What did Mr. and Mrs. Gordon do when Sandra was carried out to sea by the wave ?,Perhaps they were reading magazines .,"'Perhaps they were reading documentaries .', 'Perhaps they are reading magazines .'"
Which of the following is TRUE according to the passage ?,The poor man had no money to buy food for his daughter .,"'The poor girl had no money to buy food for his daughter .', 'The poor man has no money to buy food for his daughter .'"
Kate thought Tom was wrong because,clocks in Los Angeles showed a different time from those in New York,"'balloons in Los Angeles showed a different time from those in New York', 'clocks in Los Angeles predicts a different time from those in New York'"
Why can imagination build children 's selfconfidence ?,It makes them feel as if they were much more powerful than they really are .,"'It makes them feel as if they were much more powerful than they really are .', 'It conveys them feel as if they were much more powerful than they really are .'"
Which of the following is WRONG ?,The author thinks tigers should stay in cages .,"'The writer thinks tigers should stay in cages .', 'The author knows tigers should stay in cages .'"
"When there is a traffic jam , we should",change the route if possible,"'counterbalance the route if possible', 'change the route if possible'"
"According to the article , phytomining",has different productivity depending on the type of energy crop,"'has different efficiency depending on the type of energy crop', 'had different productivity depending on the type of energy crop'"
From the passage we learn that uniforms in general,help the wearers keep their duties in mind,"'help the coveralls keep their duties in mind', 'mislead the wearers keep their duties in mind'"
"According to the passage , alcohol has something to do with bad breath mainly because",it affects the normal flow of saliva,"'it affects the normal decay of saliva', 'it sustains the normal flow of saliva'"
What is the best title for the passage ?,An important suggestion for workers .,"'An important statement for workers .', 'An important suggestion for workers .'"
What 's the best title for this text ?,Ways for future shopping,"'manner for future shopping', 'Ways for future shopping'"
Why did the mother and daughter go to the secondhand shop ?,Because they tried to keep themselves from the rain .,"'Because they tried to keep themselves from the flame .', 'Because they vowed to keep themselves from the rain .'"
At Beach Culture you can buy,Mambo and Stussy,"'Mambo and Stussy', 'Mambo and Stussy'"
"During the "" failure week "" the students could do the following things EXCEPT",trying to entertain themselves,"'trying to entertain themselves', 'attempting to entertain themselves'"
It can be inferred from the passage that,later life experience can lead to different EQ,"'later upbringing experience can lead to different EQ', 'later life experience can tackle to different EQ'"
Which of the following is TRUE ?,Melvin 's teacher thinks it is a great thing to learn to help others .,"'Melvin 's teacher thinks it is a great tidbit to learn to help others .', 'Melvin 's teacher knows it is a great thing to learn to help others .'"
"When it is winter in China ,",the North Pole is tilted away from the sun,"'the Union Pole is tilted away from the sun', 'the North Pole was tilted away from the sun'"
Which of the following is true ?,Alice ran after the white rabbit across the field out of curiosity .,"'Alice ran after the white pig across the field out of curiosity .', 'Alice flew after the white rabbit across the field out of curiosity .'"
Which is TRUE ?,Everyone in Class Four likes Wendy .,"'Everyone in course Four likes Wendy .', 'Everyone in Class Four loved Wendy .'"
What would be the best title for the passage ?,Deb Lovci --2015 's Best Ski Guide,"'debutante Lovci --2015 's Best Ski Guide', 'Deb Lovci --2015 's Best Ski Guide'"
One part of the homeless population is difficult to estimate . The reason might well be,some homeless children are deserted by their families,"'some unemployed children are deserted by their families', 'some homeless children were deserted by their families'"
What 's the main idea of the passage ?,Wuhan issued smog warnings for three days because of smog .,"'Wuhan issued sunlight warnings for three days because of sunlight .', 'Wuhan delivered smog warnings for three days because of smog .'"
The program is about,the life of America,"'the upbringing of America', 'the life of America'"
What does the writer recommend to create customer delight ?,Delivering a quicker service .,"'Delivering a faster service .', 'deliver a quicker service .'"
The woman 's skin became orange because,she ate   too much orange food,"'she ate   too much buffalo food', 'she eats   too much orange food'"
What can you learn from this story ?,He had to go to hospital again though he hated it .,"'He had to go to hospital again though he hated it .', 'He has to go to hospital again though he hated it .'"
They go to the town to see a film because,there is no cinema in the country,"'there is no theater in the country', 'there was no cinema in the country'"
Which of the following can be the best title for the text ?,My Father 's Secret .,"'My forefather 's Secret .', 'My Father 's Secret .'"
"In the last sentence , the word "" their "" refers to",rivers,"'lakes', 'rivers'"
What can we infer from the passage ?,Straw which is convenient to get is much cheaper than thick bricks .,"'chaff which is convenient to get is much cheaper than thick bricks .', 'Straw which was convenient to get was much cheaper than thick bricks .'"
"61 . According to the passage , the abilities a child has inherited from his parents",partly determine the standard he is likely to reach,"'partly determine the byte he is likely to reach', 'partly ensure the standard he is likely to reach'"
What makes it possible for humans to live on other planets ?,The adaptive ability of humans .,"'The adaptive reluctance of humans .', 'The adaptive ability of humans .'"
